Module                  Size  Used by
wlan_drv_gen4m       2805760  0 
wmt_chrdev_wifi        61440  2 wlan_drv_gen4m
gps_drv_stp           131072  3 
fmradio_drv_mt6631    253952  0 
bt_drv_connac1x        69632  0 
wmt_drv              1417216  6 wlan_drv_gen4m,wmt_chrdev_wifi,gps_drv_stp,fmradio_drv_mt6631,bt_drv_connac1x
hall_state             16384  0 
trigger_panic          16384  0 [permanent]
simtray                16384  0 
cpumaxfreq             16384  0 
mtk_smi_bwc            32768  2 
mtk_cm_mgr_mt6768      24576  0 
mtk_usb_f_rndis        45056  0 
mtk_u_ether            53248  1 mtk_usb_f_rndis
ax88179_178a           40960  0 
asix                   65536  0 
c2k_usb_f_via_pcv      16384  0 
c2k_usb_f_via_modem    16384  1 
c2k_usb_f_via_gps      16384  0 
c2k_usb_f_via_ets      16384  1 
c2k_usb_f_via_atc      16384  1 
c2k_usb                53248  8 c2k_usb_f_via_pcv,c2k_usb_f_via_modem,c2k_usb_f_via_gps,c2k_usb_f_via_ets,c2k_usb_f_via_atc
ccci_cldma            106496  0 
ccci_ccif             110592  1 ccci_cldma
ccci_fsm_scp           24576  0 [permanent]
ccci_rtc               16384  0 [permanent]
ccci_md_clk            16384  0 [permanent]
arm_dsu_pmu            28672  0 
camera_isp_4_t        548864  0 
cam_qos_4              20480  1 camera_isp_4_t
camera_dpe_isp40      188416  0 
camera_fdvt_isp40      65536  0 
camera_eeprom_isp4     69632  0 
camera_mem            131072  2 
icnl9951r_spi         344064  0 
nt36523d_spi          380928  0 
tpd_notify             20480  2 icnl9951r_spi,nt36523d_spi
xiaomi_touch           28672  2 icnl9951r_spi,nt36523d_spi
ccu_isp4              110592  1 camera_isp_4_t
archcounter_timesync    20480  1 camera_isp_4_t,[permanent]
widevine_driver        24576  0 
fpsgo                1150976  0 
mtk_fpsgo             425984  1 fpsgo
mtk_cm_mgr             45056  2 mtk_cm_mgr_mt6768,mtk_fpsgo
mtk_perf_ioctl         36864  1 mtk_fpsgo
mtk_core_ctl           73728  1 mtk_perf_ioctl
scheduler             147456  2 mtk_perf_ioctl,mtk_core_ctl
cpufreq_sugov_ext      57344  5 mtk_fpsgo,mtk_core_ctl,scheduler
task_turbo             86016  0 
mtk_perf_common        53248  0 
atf_logger             36864  0 
mediatek_dcm           98304  0 
uload_ind              36864  0 
load_track             16384  1 uload_ind
mt63xx_debug           16384  0 
sensor_probe           16384  0 
uncali_maghub          16384  0 
uncali_acchub          16384  0 
orienthub              16384  0 
linearacchub           16384  0 
gravityhub             16384  0 
gmagrotvechub          16384  0 
gamerotvechub          16384  0 
rotatvechub            16384  0 
fusion                 32768  10 sensor_probe,uncali_maghub,uncali_acchub,orienthub,linearacchub,gravityhub,gmagrotvechub,gamerotvechub,rotatvechub
tyhx_sensorhub_test    16384  0 
saralgo                16384  0 
saralgo_top            16384  0 
saralgo_factory        24576  1 saralgo_top
